"year","mean_shw_v","mean_shw_s","mean_shw_t","shw_v_lag3","shw_v_lag4","shw_s_lag3","shw_s_lag4","shw_t_lag3","shw_t_lag4","mean_dpth","mean_bt","min_bt","max_bt","sd_bt","mean_bs","min_bs","max_bs","sd_bs","mean_tri","mean_sed","total_cpue","bt_lag3","bt_lag4","bs_lag3","bs_lag4","cp_ext","cp_ext_lag3","cp_ext_lag4","cp_pers","cp_pers_lag3","cp_pers_lag4"
1998,5123.92166666667,32.22,10.5016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.328125,44.328125,19.328125,0.57483155,-0.39337957,-0.18061276
1999,3677.5975,32.6625,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-226.67188,91.328125,44.328125,-1.1302929,0.694592,-0.39337957
2000,3722.68,33.04,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.671875,43.328125,91.328125,-0.36231375,0.16106884,0.694592
2001,4147.94833333333,32.895,10.7116666666667,5123.92166666667,NA,32.22,NA,10.5016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.671875,75.328125,43.328125,-0.6940042,0.57483155,0.16106884
2002,3698.8,33.08,12.6542857142857,3677.5975,5123.92166666667,32.6625,32.22,11.83,10.5016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.671875,-226.67188,75.328125,0.29531014,-1.1302929,0.57483155
2003,3749.97,33.1025,9.335,3722.68,3677.5975,33.04,32.6625,10.94,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.328125,-63.671875,-226.67188,-0.040968895,-0.36231375,-1.1302929
2004,4245.23285714286,32.8671428571429,10.0785714285714,4147.94833333333,3722.68,32.895,33.04,10.7116666666667,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.328125,-42.671875,-63.671875,0.8368076,-0.6940042,-0.36231375
2005,4532.92,32.365,10.2066666666667,3698.8,4147.94833333333,33.08,32.895,12.6542857142857,10.7116666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.328125,-66.671875,-42.671875,0.1137537,0.29531014,-0.6940042
2006,3880.98166666667,32.6416666666667,11.8383333333333,3749.97,3698.8,33.1025,33.08,9.335,12.6542857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-250.67188,52.328125,-66.671875,-1.2639285,-0.040968895,0.29531014
2007,4176.23428571429,32.8971428571429,10.99,4245.23285714286,3749.97,32.8671428571429,33.1025,10.0785714285714,9.335,105.333333333333,9.45269123464822,5.66042055934668,11.4203619584441,1.71614468869967,34.9060533311632,34.2524490356445,35.3694267272949,0.303866222446099,3.21007177564833,58.8888888888889,46.679431127186,NA,NA,NA,NA,91.328125,91.328125,52.328125,0.7874064,0.8368076,-0.040968895
2008,4251.98833333333,32.7183333333333,11.555,4532.92,4245.23285714286,32.365,32.8671428571429,10.2066666666667,10.0785714285714,66.3289473684211,12.6201634263914,8.01962341368198,15.5125278532505,1.89265997063308,34.9746534949855,33.947265625,35.694450378418,0.377845391300868,2.24310235551706,52.4078947368421,277.69328183077,NA,NA,NA,NA,16.328125,65.328125,91.328125,0.28175652,0.1137537,0.8368076
2009,4026.67571428571,32.8085714285714,10.88,3880.98166666667,4532.92,32.6416666666667,32.365,11.8383333333333,10.2066666666667,69.3152173913043,13.0650256628414,7.47761468589306,15.2320017144084,1.44049604665658,35.0889880138895,34.363842010498,35.9111289978027,0.291643869693794,2.12476475795974,53.4565217391304,239.70459912993,NA,NA,NA,NA,57.328125,-250.67188,65.328125,-0.24077274,-1.2639285,0.1137537
2010,4495.646,32.626,10.9,4176.23428571429,3880.98166666667,32.8971428571429,32.6416666666667,10.99,11.8383333333333,71.8117647058824,11.3033604559653,7.90609455853701,14.2182989045978,1.68157689043047,NA,NA,NA,NA,2.14917341523311,50.9647058823529,663.659684935674,9.45269123464822,NA,34.9060533311632,NA,80.328125,91.328125,-250.67188,0.31488657,0.7874064,-1.2639285
2011,4271.874,32.596,10.778,4251.98833333333,4176.23428571429,32.7183333333333,32.8971428571429,11.555,10.99,79.5066666666667,12.2998321563006,8.01742608100176,14.9566026851535,1.60231445133607,35.2206592814128,34.4218254089355,35.7966842651367,0.280669696753618,2.57562917709351,54.9466666666667,279.698521366447,12.6201634263914,9.45269123464822,34.9746534949855,34.9060533311632,26.328125,16.328125,91.328125,0.0063089174,0.28175652,0.7874064
2012,3697.88,32.87,12.7216666666667,4026.67571428571,4251.98833333333,32.8085714285714,32.7183333333333,10.88,11.555,68.36,10.8335374099016,7.22638631612062,14.5471663624048,1.96608805237983,35.004363861084,33.9228477478027,35.8195762634277,0.38229364880786,2.42556398948034,52.24,182.421733427126,13.0650256628414,12.6201634263914,35.0889880138895,34.9746534949855,-287.67188,57.328125,16.328125,-0.97850627,-0.24077274,0.28175652
2013,3497.895,33.135,10.0875,4495.646,4026.67571428571,32.626,32.8085714285714,10.9,10.88,72.1176470588235,NA,NA,NA,NA,35.0300247641171,33.7931442260742,35.7966842651367,0.348531168823147,2.16688586894204,46.0588235294118,285.682784995471,11.3033604559653,13.0650256628414,NA,35.0889880138895,-121.671875,80.328125,57.328125,-0.968417,0.31488657,-0.24077274
2014,2582.15566666667,33.0433333333333,12.4233333333333,4271.874,4495.646,32.596,32.626,10.778,10.9,78.7285714285714,NA,NA,NA,NA,35.0574729374477,34.261604309082,35.7692184448242,0.349712473136035,2.74442501344851,56.4071428571429,519.281616011588,12.2998321563006,11.3033604559653,35.2206592814128,NA,-365.67188,26.328125,80.328125,-1.669209,0.0063089174,0.31488657
2015,2824.68275,33.1525,12.4175,3697.88,4271.874,32.87,32.596,12.7216666666667,10.778,79.0289855072464,11.6163279420656,7.46662802249193,15.3960692211986,2.1858422131569,NA,NA,NA,NA,2.47424486819385,51.2753623188406,238.223977068395,10.8335374099016,12.2998321563006,35.004363861084,35.2206592814128,-331.67188,-287.67188,26.328125,-1.5031062,-0.97850627,0.0063089174
2016,3785.9225,32.8725,12.89,3497.895,3697.88,33.135,32.87,10.0875,12.7216666666667,77.0139468503905,NA,NA,NA,NA,35.164690383757,33.918270111084,35.8302574157715,0.352784291246678,2.62783549455079,56.4747474747475,327.872466307176,NA,10.8335374099016,35.0300247641171,35.004363861084,-237.67188,-121.671875,-287.67188,-0.9918166,-0.968417,-0.97850627
2017,3824.44066666667,32.94,10.9633333333333,2582.15566666667,3497.895,33.0433333333333,33.135,12.4233333333333,10.0875,75.4896755162242,NA,NA,NA,NA,35.1375488798879,34.026611328125,35.9645385742188,0.372714858314959,2.57209800346411,53.6489675516224,1589.10531311003,NA,NA,35.0574729374477,35.0300247641171,53.328125,-365.67188,-121.671875,-0.06738402,-1.669209,-0.968417
2018,4093.341,32.775,13.085,2824.68275,2582.15566666667,33.1525,33.0433333333333,12.4175,12.4233333333333,78.7931769722814,NA,NA,NA,NA,NA,NA,NA,NA,2.50084606548553,55.5373134328358,2025.15389336207,11.6163279420656,NA,NA,35.0574729374477,79.328125,-331.67188,-365.67188,0.22752889,-1.5031062,-1.669209
2019,3241.61625,32.62,13.9075,3785.9225,2824.68275,32.8725,33.1525,12.89,12.4175,77.4631578947368,12.2014250619631,8.26059756428003,16.4127018079162,1.74017526371086,35.116917841058,33.8022994995117,36.1857948303223,0.419128624308391,2.58053148859426,54.5421052631579,480.594690030207,NA,11.6163279420656,35.164690383757,NA,-2.671875,-237.67188,-331.67188,-0.8255574,-0.9918166,-1.5031062
2021,2686.72366666667,32.8866666666667,14.8,3824.44066666667,3785.9225,32.94,32.8725,10.9633333333333,12.89,77.0277777777778,13.2233914274722,8.93737602978945,17.4871974885464,1.60066838949052,35.1802593443129,33.9330177307129,35.9177474975586,0.412759525294835,2.56508768780364,53.4666666666667,683.918254443708,NA,NA,NA,35.1375488798879,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.75677775726,NA,NA,NA,NA,35.1533404758998,33.9075889587402,35.9813232421875,0.358990569540349,2.48073287693026,55.5824175824176,605.31074367719,NA,NA,35.1375488798879,35.164690383757,-244.67188,53.328125,-237.67188,-1.3138347,-0.06738402,-0.9918166
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9852082899408,NA,NA,NA,NA,NA,NA,NA,NA,2.8049020134133,55.8816568047337,629.945497986188,12.2014250619631,NA,35.116917841058,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.328125,NA,NA,-0.18061276,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.328125,NA,NA,-0.39337957,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.328125,NA,NA,0.694592,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.328125,19.328125,NA,0.16106884,-0.18061276,NA
